"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",0.285714285714,4,1,5,2,4,1,4,6
"2017-11-13 00:01",0.266666666667,4,1,2,3,1,2,6,2
"2017-11-13 00:02",0.266666666667,13,9,4,7,3,3,4,8
"2017-11-13 00:03",0.266666666667,2,1,2,4,2,8,3,4
"2017-11-13 00:04",0.4,6,3,5,4,2,2,1,3
"2017-11-13 00:05",0.4,5,2,3,1,4,3,1,4
"2017-11-13 00:06",0.4,3,11,3,4,6,5,5,8
"2017-11-13 00:07",0.133333333333,1,0,6,3,5,3,4,5
"2017-11-13 00:08",0.133333333333,3,5,7,5,4,5,1,5
"2017-11-13 00:09",0.133333333333,5,3,2,1,2,8,3,0
"2017-11-13 00:10",0.4,9,3,5,0,3,8,6,8
"2017-11-13 00:11",0.4,4,4,3,4,5,5,4,5
"2017-11-13 00:12",0.4,5,0,0,4,5,2,1,2
"2017-11-13 00:13",0.4,2,4,3,2,0,4,1,5
"2017-11-13 00:14",0.4,5,6,4,5,5,5,10,7
"2017-11-13 00:15",0.4,3,3,2,2,3,6,3,3
"2017-11-13 00:16",0.4,3,2,3,2,6,4,2,2
"2017-11-13 00:17",0.666666666667,1,3,2,4,6,3,0,1
"2017-11-13 00:18",0.666666666667,1,6,3,8,6,2,5,4
"2017-11-13 00:19",0.533333333333,2,4,2,4,5,2,2,4
"2017-11-13 00:20",0.533333333333,3,2,1,1,1,2,2,3
"2017-11-13 00:21",0.533333333333,1,2,3,1,1,3,1,4
"2017-11-13 00:22",0.8,7,4,3,2,3,3,6,2
"2017-11-13 00:23",1.33333333333,3,7,3,3,0,3,2,2
"2017-11-13 00:24",1.33333333333,2,2,4,1,2,1,0,5
"2017-11-13 00:25",1.06666666667,2,1,3,3,4,2,5,2
"2017-11-13 00:26",1.46666666667,4,2,2,3,5,2,4,2
"2017-11-13 00:27",1.46666666667,5,2,2,2,3,2,2,3
"2017-11-13 00:28",1.46666666667,2,2,0,3,1,0,0,5
"2017-11-13 00:29",1.46666666667,5,1,2,3,1,2,2,4
"2017-11-13 00:30",1.46666666667,2,3,4,2,4,1,0,5
"2017-11-13 00:31",1.46666666667,3,2,4,0,5,2,3,1
"2017-11-13 00:32",1.46666666667,3,2,3,0,2,1,3,4
"2017-11-13 00:33",1.46666666667,2,3,2,1,0,3,0,1
"2017-11-13 00:34",1.46666666667,2,5,4,2,3,2,5,1
"2017-11-13 00:35",1.46666666667,4,1,1,4,2,4,3,1
"2017-11-13 00:36",1.46666666667,2,1,2,1,4,0,3,5
"2017-11-13 00:37",1.2,2,1,2,3,4,2,4,3
"2017-11-13 00:38",0.933333333333,2,3,3,4,3,4,2,2
"2017-11-13 00:39",0.933333333333,1,2,1,2,1,2,4,1
"2017-11-13 00:40",1.06666666667,2,3,2,3,1,5,2,5
"2017-11-13 00:41",0.666666666667,1,2,2,2,1,1,1,3
"2017-11-13 00:42",0.933333333333,5,7,5,1,7,5,2,3
"2017-11-13 00:43",0.933333333333,2,3,5,1,3,1,4,5
"2017-11-13 00:44",0.933333333333,3,0,0,2,1,2,2,2
"2017-11-13 00:45",0.933333333333,5,1,1,2,2,3,2,2
"2017-11-13 00:46",0.933333333333,0,2,4,4,3,4,3,4
"2017-11-13 00:47",0.666666666667,4,4,2,2,2,1,3,0
"2017-11-13 00:48",0.666666666667,1,4,3,2,1,5,0,0
"2017-11-13 00:49",0.666666666667,0,2,1,2,2,2,2,3
"2017-11-13 00:50",0.666666666667,5,0,3,3,4,1,2,2
"2017-11-13 00:51",0.666666666667,3,1,3,3,0,1,3,1
"2017-11-13 00:52",0.666666666667,1,3,1,1,4,2,1,1
"2017-11-13 00:53",0.4,2,3,3,4,0,4,1,2
"2017-11-13 00:54",0.4,3,2,6,2,7,4,4,2
"2017-11-13 00:55",0.266666666667,0,1,2,3,2,3,5,3
"2017-11-13 00:56",0.266666666667,1,3,3,1,5,0,5,2
"2017-11-13 00:57",0.133333333333,2,3,1,1,0,1,2,2
"2017-11-13 00:58",0.142857142857,5,3,4,5,1,3,5,4
"2017-11-13 00:59",0.133333333333,3,7,1,1,2,4,3,7
"2017-11-13 01:00",0.142857142857,1,3,0,3,1,2,0,1
"2017-11-13 01:01",0.142857142857,3,0,3,2,3,2,0,3
"2017-11-13 01:02",0.133333333333,2,1,3,4,3,6,5,2
"2017-11-13 01:03",0.133333333333,1,3,4,3,2,0,1,3
