"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-9,-9,-9,-9,-9,-9,-9,-9,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622
-9,-9,-9,-9,-9,-9,-9,-9,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622
-9,-9,-9,-9,-9,-9,-9,-9,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622
-9,-9,-9,-9,-9,-9,-9,-9,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622
-9,-9,-9,-9,-9,-9,-9,-9,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622,-12.1621621621622
-6,-6,-6,-6,-6,-6,-6,-6,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211
-6,-6,-6,-6,-6,-6,-6,-6,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211
-6,-6,-6,-6,-6,-6,-6,-6,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211
-6,-6,-6,-6,-6,-6,-6,-6,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211
-6,-6,-6,-6,-6,-6,-6,-6,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211,-8.45070422535211
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
